"שם גיליון
(רלוונטי לגיליונות עם עמודה ""מאפיין עיקרי"")",שם עמודה,אפשרות בחירה,הערות והסברים,Unnamed: 4
,,מתכת ומוצרי בניה,,
,,"נדל""ן מניב בישראל",,
,,"נדל""ן מניב בחו""ל",,
,,"עץ, נייר ודפוס",,
,,פארמה,,
,,פודטק,,
,,ציוד תקשורת,,
,,קנאביס,,
,,קלינטק,,
,,קרנות היי טק,,
,,קרנות סל,,
,,רובוטיקה ותלת מימד,,
,,רשתות שיווק,,
,,שירותי מידע,,
,,שירותים,,
,,שירותים פיננסיים,,
,,תוכנה ואינטרנט,,
,,תקשורת ומדיה,,
,,אחר,,
,,Energy Equipment & Services,,
,,"Oil, Gas & Consumable Fuels",,
,,Chemicals,,
,,Construction Materials,,
,,Containers & Packaging,,
,,Metals & Mining,,
,,Paper & Forest Products,,
,,Aerospace & Defense,,
,,Building Products,,
,,Construction & Engineering,,
,,Electrical Equipment,,
,,Industrial Conglomerates,,
,,Machinery,,
,,Trading Companies & Distributors,,
,,Commercial Services & Supplies,,
,,Professional Services,,
,,Air Freight & Logistics,,
,,Passenger Airlines,,
,,Marine Transportation,,
,,Ground Transportation,,
,,Transportation Infrastructure,,
,,Automobile Components,,
,,Automobiles,,
,,Household Durables,,
,,Leisure Products,,
,,"Textiles, Apparel & Luxury Goods",,
,,"Hotels, Restaurants & Leisure",,
,,Diversified Consumer Services,,
,,Distributors,,
,,Broadline Retail,,
,,Specialty Retail,,
,,Consumer Staples Distribution & Retail,,
,,Beverages,,
,,Food Products,,
,,Tobacco,,
,,Household Products,,
,,Personal Care Products,,
,,Health Care Equipment & Supplies,,
,,Health Care Providers & Services,,
,,Health Care Technology,,
,,Biotechnology,,
,,Pharmaceuticals,,
,,Life Sciences Tools & Services,,
,,Banks,,
,,Financial Services,,
,,Consumer Finance,,
,,Capital Markets,,
,,Mortgage Real Estate Investment Trusts (REITs),,
,,Insurance,,
,,IT Services,,
,,Software,,
,,Communications Equipment,,
,,"Technology Hardware, Storage & Peripherals",,
,,"Electronic Equipment, Instruments & Components",,
,,Semiconductors & Semiconductor Equipment,,
,,Diversified Telecommunication Services,,
,,Wireless Telecommunication Services,,
,,Media,,
,,Entertainment,,
,,Interactive Media & Services,,
,,Electric Utilities,,
,,Gas Utilities,,
,,Multi-Utilities,,
,,Water Utilities,,
,,Independent Power and Renewable Electricity Producers,,
,,Diversified REITs,,
,,Industrial REITs,,
,,Hotel & Resort REITs,,
,,Office REITs,,
,,Health Care REITs,,
,,Residential REITs,,
,,Retail REITs,,
,,Specialized REITs,,
,,Real Estate Management & Development,,
,,Other,,
,,,,
,,,,
,,לא סחיר,,
,,חסום,,
,,השעיה,,
,,לא חסום בהשעיה,,
,,חסום בהשעיה,,
,,אחר,,
,,,,
,,לא סחיר,,
,,בהשאלה,,
,,בשלבי רישום למסחר,,
,,חסום,,
,,אחר,,
,,,,
,,סחיר,,
,,חסום,,
,,חסום בהשעיה,,
,,לא חסום בהשעיה,,
,,אחר,,
,,,,
,,לא סחיר,,
,,חסום,,
,,אחר,,
,,,,
,,,,
,,סחיר,,
,,חסום,,
,,השעיה,,
,,בהשאלה,,
,,לא חסום בהשעיה,,
,,לא חסום בהשאלה,,
,,חסום בהשעיה,,
,,חסום בהשאלה,,
,,בשלבי רישום למסחר,,
,,אחר,,
,,,,
,,TASE,,
,,TASE-UP,,
,,NYSE,,
,,NASDAQ,,
,,JPX,,
,,AMEX,,
,,ADX,,
,,ASX,,
,,BOVESPA,,
,,BSE,,
,,CBOE,,
,,CME,,
,,EURONEXT,,
,,EUREX,,
,,FWB,,
,,HKSE,,
,,ICE,,
,,ISE,,
,,JSE,,
,,KRX,,
,,LSE,,
,,MICEX - RTS,,
,,NASDAQD,,
,,NSE,,
,,SSE,,
,,SZSE,,
,,SGX,,
,,BME,,
,,SIX,,
,,TSEC,,
,,TSE,,
,,TSX,,
,,אחר,,
